8.50,0.00,7.00
8.50,6.50,7.50
7.00,,
6.50,8.00,2.50
4.20,6.50,
3.00,4.80,0.70
9.00,7.00,9.50
8.50,8.50,9.00
2.00,7.00,1.30
8.00,8.25,7.42
10.00,10.00,9.00
7.20,9.70,7.00
8.00,8.00,
10.00,9.00,10.00
10.00,10.00,10.00
8.50,9.00,
8.50,9.00,9.00
7.50,8.50,8.00
10.00,8.90,
9.00,9.00,9.00
8.80,8.00,
7.70,8.30,10.00
10.00,7.00,9.50
9.50,9.50,8.00
10.00,10.00,9.10
0.00,0.00,0.00
,,
0.00,0.00,0.00
8.00,0.00,
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,
2.00,0.00,0.00
0.00,0.00,0.00
0.00,,
0.00,0.00,0.00
0.00,0.00,
0.00,0.00,0.00
0.00,0.00,
0.00,0.00,0.00
0.00,0.00,0.00
8.20,8.25,8.41
10.00,10.00,9.00
5.50,6.10,6.10
7.00,10.00,
9.00,9.00,10.00
10.00,9.00,9.00
9.00,9.00,
8.50,8.00,2.50
6.50,6.50,6.50
7.60,7.00,
4.50,2.50,7.00
5.00,6.50,
7.50,6.40,5.70
8.00,8.00,8.50
6.50,9.00,8.00
7.80,7.30,8.40
8.30,7.42,8.10
10.00,10.00,9.00
8.00,10.00,8.40
7.00,9.00,
10.00,9.50,10.00
10.00,10.00,10.00
10.00,9.50,
8.50,9.00,8.00
8.50,8.50,8.00
9.10,10.00,
8.00,7.50,10.00
9.30,10.00,
10.00,9.50,10.00
10.00,8.00,10.00
10.00,9.00,9.00
9.00,9.00,9.50
8.51,8.25,8.54
10.00,10.00,
7.80,10.00,7.60
8.00,10.00,
10.00,9.50,10.00
10.00,10.00,10.00
9.50,9.00,
8.50,8.50,9.00
8.50,8.50,8.00
10.00,8.50,
7.00,7.00,9.00
9.50,9.00,
10.00,10.00,10.00
10.00,9.00,10.00
9.50,9.50,10.00
8.80,10.00,9.00
8.98,8.10,8.41
10.00,10.00,9.50
6.00,8.70,4.00
9.00,7.00,
10.00,9.50,10.00
5.00,1.00,1.00
6.50,,
9.00,7.00,4.00
7.00,6.50,6.50
6.30,3.00,
3.50,2.00,3.50
3.80,6.00,
3.10,2.70,1.00
9.00,8.00,7.50
7.00,9.00,8.00
5.00,2.50,7.20
8.45,8.25,8.54
10.00,10.00,
7.70,9.30,7.20
8.00,10.00,
10.00,9.50,10.00
10.00,9.80,9.80
7.00,8.50,
8.50,7.50,8.00
8.50,8.50,7.50
9.70,9.50,
4.50,7.00,5.50
7.50,8.50,
9.00,6.00,7.60
10.00,7.00,10.00
9.50,10.00,10.00
7.10,9.60,9.60
8.25,8.25,8.10
8.00,9.00,9.50
5.10,7.60,4.10
8.00,7.00,
10.00,9.50,10.00
4.30,3.30,3.30
8.00,,
7.50,0.00,0.00
8.00,6.50,6.00
5.10,2.30,
4.50,3.50,5.50
4.20,3.00,
2.30,3.20,0.00
8.00,7.00,8.50
7.00,9.00,8.50
2.50,7.80,7.00
8.63,8.25,8.41
10.00,10.00,10.00
7.30,7.40,6.00
7.00,7.00,
10.00,9.50,10.00
10.00,7.80,7.80
8.50,9.00,
8.50,7.50,6.00
9.50,8.50,6.00
5.70,7.50,
5.00,8.00,8.00
4.30,6.50,
4.80,5.30,9.00
9.00,10.00,10.00
9.50,9.00,9.50
7.00,7.10,8.40
8.10,8.10,8.54
10.00,10.00,10.00
7.30,9.30,6.30
7.00,7.00,
10.00,9.50,10.00
10.00,7.30,7.30
7.50,8.00,
8.50,8.00,9.00
6.50,7.50,7.00
8.70,8.25,
6.50,6.50,9.00
7.60,8.50,
5.20,3.40,3.80
8.00,10.00,9.50
7.50,8.50,8.50
7.80,9.00,8.10
8.51,8.25,8.41
10.00,10.00,9.00
7.90,7.50,7.70
8.00,10.00,
10.00,9.50,10.00
9.20,9.50,9.50
7.50,8.00,
8.50,8.00,10.00
10.00,7.00,6.00
8.50,7.50,
5.00,6.00,10.00
7.10,8.50,
7.20,6.50,9.00
8.00,9.00,10.00
8.00,8.00,9.00
7.70,10.00,8.20
8.32,8.25,8.10
10.00,10.00,9.00
5.00,7.70,5.00
7.00,7.00,
9.00,9.00,10.00
8.30,8.00,8.00
8.50,8.50,
8.50,8.50,7.50
7.00,6.50,6.00
5.40,6.00,
4.00,3.50,8.00
4.50,9.00,
5.70,7.00,8.00
10.00,8.00,8.00
7.50,8.00,7.50
7.00,7.00,7.70
8.54,8.25,8.54
10.00,10.00,9.00
8.40,6.70,5.80
8.00,10.00,
10.00,9.50,10.00
9.20,9.50,9.50
7.00,7.00,
8.50,8.00,9.00
8.00,8.50,8.00
7.50,6.50,
5.50,5.50,5.00
8.20,7.00,
7.50,6.60,7.70
10.00,8.00,8.00
9.00,9.00,9.00
6.00,8.50,6.10
8.88,8.10,8.25
10.00,10.00,
8.00,9.00,6.60
7.00,10.00,
10.00,9.50,10.00
7.70,9.30,9.30
8.50,9.00,
8.50,8.00,5.50
7.00,9.00,7.00
7.50,9.75,
9.00,6.50,6.50
8.50,9.00,
7.10,9.00,8.30
8.00,8.00,9.50
8.50,9.50,10.00
9.10,9.00,8.30
8.88,8.25,8.54
10.00,10.00,9.00
7.30,7.80,6.20
8.00,10.00,
9.00,9.50,10.00
8.80,8.80,8.80
7.00,7.00,
7.50,8.50,7.50
10.00,7.50,8.00
7.20,6.75,
4.50,8.50,4.50
8.80,8.50,
4.90,5.80,7.00
10.00,7.00,9.50
7.50,9.00,9.50
6.40,7.70,9.00
8.23,8.25,8.10
10.00,10.00,10.00
7.90,10.00,7.50
7.00,9.00,
10.00,9.50,10.00
10.00,9.30,9.30
10.00,8.00,
8.50,8.50,10.00
9.00,8.00,8.50
10.00,9.40,
7.00,7.50,9.50
9.30,8.50,
8.60,7.10,8.90
8.00,9.00,10.00
9.00,9.00,9.50
9.20,9.00,8.50
8.65,8.25,8.54
10.00,10.00,10.00
7.30,10.00,8.40
7.00,7.00,
10.00,9.50,10.00
10.00,8.30,8.30
9.00,9.00,
8.50,8.50,10.00
8.50,8.00,8.00
9.90,8.00,
8.00,9.00,9.50
9.70,8.50,
8.10,8.00,7.80
9.00,7.00,9.50
9.50,9.50,9.00
10.00,9.60,9.00
8.57,8.10,8.41
10.00,10.00,9.50
7.90,8.80,5.20
7.00,7.00,
10.00,9.50,10.00
3.00,7.00,7.00
7.00,,
7.50,0.00,6.50
6.00,7.50,7.50
,5.15,
6.50,7.00,3.50
3.30,4.50,
2.00,1.30,1.50
8.00,7.00,6.50
2.00,8.50,9.50
5.50,7.10,7.00
8.24,8.25,8.54
10.00,10.00,10.00
8.60,8.40,6.00
7.00,10.00,
10.00,9.50,10.00
9.50,7.80,7.80
8.50,8.00,
8.50,8.50,10.00
8.50,9.00,7.50
9.60,7.80,
6.50,7.50,9.50
8.10,10.00,
6.20,5.70,5.70
4.00,10.00,8.00
7.00,8.50,8.00
8.30,9.00,8.40
8.32,8.25,8.10
10.00,10.00,10.00
8.80,10.00,7.00
7.00,10.00,
10.00,9.50,10.00
8.30,9.00,9.00
8.00,8.50,
8.50,8.00,9.00
9.00,7.50,6.50
8.40,8.25,
7.50,7.00,9.50
8.00,8.00,
9.00,7.20,9.30
9.00,10.00,9.00
9.50,8.00,8.50
7.50,7.70,9.00
